年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2018,数学,湖南,老高考,2021,全国卷,common,湖南卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（湖南）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/湖南卷/2018_数学_湖南_湖南卷_原卷.pdf,4
2018,数学,广东,老高考,2021,全国卷,common,广东卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（广东）数学高考真题\2018年高考数学试卷（文）（新课标Ⅰ）（空白卷）.pdf,papers/2018/数学/全国/广东卷/2018_数学_广东_广东卷_原卷.pdf,4
2018,数学,广西,老高考,2024,全国卷,common,广西卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（广西）数学高考真题\2018年高考数学试卷（文）（新课标Ⅲ）（空白卷）.pdf,papers/2018/数学/全国/广西卷/2018_数学_广西_广西卷_原卷.pdf,4
2018,数学,海南,老高考,2020,全国卷,common,海南卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（海南）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/海南卷/2018_数学_海南_海南卷_原卷.pdf,4
2018,数学,重庆,老高考,2021,全国卷,common,重庆卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2012-2024·（重庆）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/重庆卷/2018_数学_重庆_重庆卷_原卷.pdf,4
2018,数学,四川,老高考,2025,全国卷,common,四川卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（四川）数学高考真题\2018年高考数学试卷（文）（新课标Ⅲ）（空白卷）.pdf,papers/2018/数学/全国/四川卷/2018_数学_四川_四川卷_原卷.pdf,4
2018,数学,贵州,老高考,2024,全国卷,common,贵州卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（贵州）数学高考真题\2018年高考数学试卷（文）（新课标Ⅲ）（空白卷）.pdf,papers/2018/数学/全国/贵州卷/2018_数学_贵州_贵州卷_原卷.pdf,4
2018,数学,云南,老高考,2025,全国卷,common,云南卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（云南）数学高考真题\2018年高考数学试卷（文）（新课标Ⅲ）（空白卷）.pdf,papers/2018/数学/全国/云南卷/2018_数学_云南_云南卷_原卷.pdf,4
2018,数学,西藏,老高考,,全国卷,common,西藏卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（西藏）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/西藏卷/2018_数学_西藏_西藏卷_原卷.pdf,4
2018,数学,陕西,老高考,2025,全国卷,common,陕西卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（陕西）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/陕西卷/2018_数学_陕西_陕西卷_原卷.pdf,4
2018,数学,甘肃,老高考,2024,全国卷,common,甘肃卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（甘肃）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/甘肃卷/2018_数学_甘肃_甘肃卷_原卷.pdf,4
2018,数学,青海,老高考,2025,全国卷,common,青海卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（青海）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/青海卷/2018_数学_青海_青海卷_原卷.pdf,4
2018,数学,宁夏,老高考,2025,全国卷,common,宁夏卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（宁夏）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/宁夏卷/2018_数学_宁夏_宁夏卷_原卷.pdf,4
2018,数学,新疆,老高考,,全国卷,common,新疆卷,present_common,H:\New folder\【新】2008-2024·高考数学真题\【PDF版】2008-2024·高考数学真题\版本2：数学（按省份分类）2008-2024\2008-2024·（新疆）数学高考真题\2018年高考数学试卷（文）（新课标Ⅱ）（空白卷）.pdf,papers/2018/数学/全国/新疆卷/2018_数学_新疆_新疆卷_原卷.pdf,4
2018,英语,北京,老高考,2020,地方/区域卷,local,北京卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（北京）英语高考真题\2018年高考英语试卷（北京）（机考 无听力）（空白卷）.pdf,papers/2018/英语/北京/北京卷/2018_英语_北京_北京卷_原卷.pdf,2
2018,英语,天津,老高考,2020,地方/区域卷,local,天津卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2023·（天津）英语高考真题\2018年高考英语试卷（天津）（空白卷）.pdf,papers/2018/英语/天津/天津卷/2018_英语_天津_天津卷_原卷.pdf,2
2018,英语,河北,老高考,2021,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（河北）英语高考真题\2018年高考英语试卷（新课标Ⅰ卷）听力音频.mp3,papers/2018/英语/全国/新课标全国I卷/2018_英语_河北_新课标全国I卷_原卷.mp3,3
2018,英语,山西,老高考,2025,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考英语真题\版本2：英语（按省份分类）2008-2024\2008-2024·（山西）英语高考真题\2018年高考英语试卷（新课标Ⅰ卷）听力音频.mp3,papers/2018/英语/全国/新课标全国I卷/2018_英语_山西_新课标全国I卷_原卷.mp3,3
