年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2025,历史,吉林,新高考,2024,地方/区域卷,local,内蒙古卷,done,../../papers/2025/历史/吉林/内蒙古卷/2025_历史_吉林内蒙古卷_原卷.pdf,../../papers/2025/历史/吉林/内蒙古卷/2025_历史_吉林内蒙古卷_OCR与考点.md,,pypdf,15
2025,历史,黑龙江,新高考,2024,地方/区域卷,local,内蒙古卷,done,../../papers/2025/历史/黑龙江/内蒙古卷/2025_历史_黑龙江内蒙古卷_原卷.pdf,../../papers/2025/历史/黑龙江/内蒙古卷/2025_历史_黑龙江内蒙古卷_OCR与考点.md,,pypdf,9
2025,历史,上海,新高考,2017,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,江苏,新高考,2021,地方/区域卷,local,江苏卷,done,../../papers/2025/历史/江苏/江苏卷/2025_历史_江苏卷_原卷.pdf,../../papers/2025/历史/江苏/江苏卷/2025_历史_江苏卷_OCR与考点.md,,pypdf,9
2025,历史,浙江,新高考,2017,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,安徽,新高考,2024,地方/区域卷,local,安徽卷,done,../../papers/2025/历史/安徽/安徽卷/2025_历史_安徽卷_原卷.pdf,../../papers/2025/历史/安徽/安徽卷/2025_历史_安徽卷_OCR与考点.md,,pypdf,15
2025,历史,福建,新高考,2021,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,江西,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,山东,新高考,2020,地方/区域卷,local,山东卷,done,../../papers/2025/历史/山东/山东卷/2025_历史_山东卷_原卷.pdf,../../papers/2025/历史/山东/山东卷/2025_历史_山东卷_OCR与考点.md,,rapidocr,8
2025,历史,河南,新高考,2025,地方/区域卷,local,河南卷,done,../../papers/2025/历史/河南/河南卷/2025_历史_河南卷_原卷.pdf,../../papers/2025/历史/河南/河南卷/2025_历史_河南卷_OCR与考点.md,,pypdf,16
2025,历史,湖北,新高考,2021,地方/区域卷,local,湖北卷,done,../../papers/2025/历史/湖北/湖北卷/2025_历史_湖北卷_原卷.pdf,../../papers/2025/历史/湖北/湖北卷/2025_历史_湖北卷_OCR与考点.md,,pypdf,17
2025,历史,湖南,新高考,2021,地方/区域卷,local,湖南卷,done,../../papers/2025/历史/湖南/湖南卷/2025_历史_湖南卷_原卷.pdf,../../papers/2025/历史/湖南/湖南卷/2025_历史_湖南卷_OCR与考点.md,,pypdf,15
2025,历史,广东,新高考,2021,地方/区域卷,local,广东卷,done,../../papers/2025/历史/广东/广东卷/2025_历史_广东卷_原卷.pdf,../../papers/2025/历史/广东/广东卷/2025_历史_广东卷_OCR与考点.md,,pypdf,16
2025,历史,广西,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,海南,新高考,2020,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,重庆,新高考,2021,地方/区域卷,local,重庆卷,done,../../papers/2025/历史/重庆/重庆卷/2025_历史_重庆卷_原卷.pdf,../../papers/2025/历史/重庆/重庆卷/2025_历史_重庆卷_OCR与考点.md,,pypdf,14
2025,历史,四川,新高考,2025,地方/区域卷,local,四川卷,done,../../papers/2025/历史/四川/四川卷/2025_历史_四川卷_原卷.pdf,../../papers/2025/历史/四川/四川卷/2025_历史_四川卷_OCR与考点.md,,pypdf,14
2025,历史,贵州,新高考,2024,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,云南,新高考,2025,地方/区域卷,local,云南卷,done,../../papers/2025/历史/云南/云南卷/2025_历史_云南卷_原卷.pdf,../../papers/2025/历史/云南/云南卷/2025_历史_云南卷_OCR与考点.md,,pypdf,15
2025,历史,西藏,老高考,,,missing,,missing,../../../..,../../../..,../../../..,,
2025,历史,陕西,新高考,2025,地方/区域卷,local,山西卷,done,../../papers/2025/历史/陕西/山西卷/2025_历史_陕西山西卷_原卷.pdf,../../papers/2025/历史/陕西/山西卷/2025_历史_陕西山西卷_OCR与考点.md,,pypdf,14
2025,历史,甘肃,新高考,2024,地方/区域卷,local,甘肃卷,done,../../papers/2025/历史/甘肃/甘肃卷/2025_历史_甘肃卷_原卷.pdf,../../papers/2025/历史/甘肃/甘肃卷/2025_历史_甘肃卷_OCR与考点.md,,pypdf,14
2025,历史,青海,新高考,2025,地方/区域卷,local,山西卷,done,../../papers/2025/历史/青海/山西卷/2025_历史_青海山西卷_原卷.pdf,../../papers/2025/历史/青海/山西卷/2025_历史_青海山西卷_OCR与考点.md,,pypdf,14
2025,历史,宁夏,新高考,2025,地方/区域卷,local,山西卷,done,../../papers/2025/历史/宁夏/山西卷/2025_历史_宁夏山西卷_原卷.pdf,../../papers/2025/历史/宁夏/山西卷/2025_历史_宁夏山西卷_OCR与考点.md,,pypdf,14
2025,历史,新疆,老高考,,,missing,,missing,../../../..,../../../..,../../../..,,
2025,地理,北京,新高考,2020,地方/区域卷,local,北京卷,done,../../papers/2025/地理/北京/北京卷/2025_地理_北京卷_原卷.pdf,../../papers/2025/地理/北京/北京卷/2025_地理_北京卷_OCR与考点.md,,pypdf,17
2025,地理,天津,新高考,2020,,missing,,missing,../../../..,../../../..,../../../..,,
2025,地理,河北,新高考,2021,地方/区域卷,local,河北卷,done,../../papers/2025/地理/河北/河北卷/2025_地理_河北卷_原卷.pdf,../../papers/2025/地理/河北/河北卷/2025_地理_河北卷_OCR与考点.md,,pypdf,17
2025,地理,山西,新高考,2025,地方/区域卷,local,山西卷,done,../../papers/2025/地理/山西/山西卷/2025_地理_山西卷_原卷.pdf,../../papers/2025/地理/山西/山西卷/2025_地理_山西卷_OCR与考点.md,,pypdf,16
2025,地理,内蒙古,新高考,2025,地方/区域卷,local,内蒙古卷,done,../../papers/2025/地理/内蒙古/内蒙古卷/2025_地理_内蒙古卷_原卷.pdf,../../papers/2025/地理/内蒙古/内蒙古卷/2025_地理_内蒙古卷_OCR与考点.md,,pypdf,16
2025,地理,辽宁,新高考,2021,地方/区域卷,local,内蒙古卷,done,../../papers/2025/地理/辽宁/内蒙古卷/2025_地理_辽宁内蒙古卷_原卷.pdf,../../papers/2025/地理/辽宁/内蒙古卷/2025_地理_辽宁内蒙古卷_OCR与考点.md,,pypdf,16
2025,地理,吉林,新高考,2024,地方/区域卷,local,内蒙古卷,done,../../papers/2025/地理/吉林/内蒙古卷/2025_地理_吉林内蒙古卷_原卷.pdf,../../papers/2025/地理/吉林/内蒙古卷/2025_地理_吉林内蒙古卷_OCR与考点.md,,pypdf,16
2025,地理,黑龙江,新高考,2024,地方/区域卷,local,内蒙古卷,done,../../papers/2025/地理/黑龙江/内蒙古卷/2025_地理_黑龙江内蒙古卷_原卷.pdf,../../papers/2025/地理/黑龙江/内蒙古卷/2025_地理_黑龙江内蒙古卷_OCR与考点.md,,pypdf,10
2025,地理,上海,新高考,2017,地方/区域卷,local,上海卷,done,../../papers/2025/地理/上海/上海卷/2025_地理_上海卷_原卷.pdf,../../papers/2025/地理/上海/上海卷/2025_地理_上海卷_OCR与考点.md,,pypdf,17
